sentence,sentiment,Cleaned_Text,Lemmatized_Text
NOBODY identifies with these characters because they're all cardboard cutouts and stereotypes (or predictably reverse-stereotypes).  ,negative,nobody identifies with these characters because theyre all cardboard cutouts and stereotypes or predictably reversestereotypes,nobody identify with these character because they re all cardboard cutout and stereotype or predictably reversestereotype
"This is a bad film, with bad writing, and good actors....an ugly cartoon crafted by Paul Haggis for people who can't handle anything but the bold strokes in storytelling....a picture painted with crayons.  ",negative,this is a bad film with bad writing and good actorsan ugly cartoon crafted by paul haggis for people who cant handle anything but the bold strokes in storytellinga picture painted with crayons,this be a bad film with bad writing and good actorsan ugly cartoon craft by paul haggi for people who can not handle anything but the bold stroke in storytellinga picture paint with crayon
"Crash is a depressing little nothing, that provokes emotion, but teaches you nothing if you already know racism and prejudice are bad things.  ",negative,crash is a depressing little nothing that provokes emotion but teaches you nothing if you already know racism and prejudice are bad things,crash be a depressing little nothing that provoke emotion but teach you nothing if you already know racism and prejudice be bad thing
"Still, I do like this movie for it's empowerment of women; there's not enough movies out there like this one.  ",positive,still i do like this movie for its empowerment of women theres not enough movies out there like this one,still I do like this movie for its empowerment of woman there s not enough movie out there like this one
Your brain will attempt to shut-down as part of a primal impulse of self-preservation.  ,negative,your brain will attempt to shutdown as part of a primal impulse of selfpreservation,your brain will attempt to shutdown as part of a primal impulse of selfpreservation
I was left shattered from the experience of watching this 'film' and I took a good two hours to fully recover.  ,negative,i was left shattered from the experience of watching this film and i took a good two hours to fully recover,I be leave shatter from the experience of watch this film and I take a good two hour to fully recover
This movie now joins Revenge of the Boogeyman and Zombiez as part of the hellish trinity of horror films.  ,negative,this movie now joins revenge of the boogeyman and zombiez as part of the hellish trinity of horror films,this movie now join revenge of the boogeyman and zombiez as part of the hellish trinity of horror film
I certainly do not mean this distinction in a good way.  ,negative,i certainly do not mean this distinction in a good way,I certainly do not mean this distinction in a good way
I mean this in a terrible way.  ,negative,i mean this in a terrible way,I mean this in a terrible way
This film has no redeeming features.  ,negative,this film has no redeeming features,this film have no redeem feature
Everything is appalling.  ,negative,everything is appalling,everything be appal
"Artless camera-work endlessly presents us with the ugliest setting imaginable, i.e.  ",negative,artless camerawork endlessly presents us with the ugliest setting imaginable ie,artless camerawork endlessly present we with the ugly setting imaginable ie
The story is beyond stupid.  ,negative,the story is beyond stupid,the story be beyond stupid
The script iswas there a script?  ,negative,the script is was there a script,the script be be there a script
The kids are annoying.  ,negative,the kids are annoying,the kid be annoying
The lead man is charisma-free.  ,negative,the lead man is charismafree,the lead man be charismafree
"Utterly without merit on any level, this is akin to torture.  ",negative,utterly without merit on any level this is akin to torture,utterly without merit on any level this be akin to torture
I'll even say it again  this is torture.  ,negative,ill even say it again this is torture,ill even say it again this be torture
Maybe there would be a reasonable explanation for this atrocity.  ,negative,maybe there would be a reasonable explanation for this atrocity,maybe there would be a reasonable explanation for this atrocity
Not a pleasant voyage of self-discovery.  ,negative,not a pleasant voyage of selfdiscovery,not a pleasant voyage of selfdiscovery
Highly unrecommended.  ,negative,highly unrecommended,highly unrecommended
"If this premise sound stupid, that's because it is.  ",negative,if this premise sound stupid thats because it is,if this premise sound stupid that s because it be
"Yes, it's that bad.  ",negative,yes its that bad,yes its that bad
Nothing at all to recommend.  ,negative,nothing at all to recommend,nothing at all to recommend
An excellent performance from Ms.  ,positive,an excellent performance from ms,an excellent performance from ms
"Garbo, who showed right off the bat that her talents could carry over from the silent era (I wanted to see some of her silent work, but Netflix doesn't seem to be stocking them.  ",positive,garbo who showed right off the bat that her talents could carry over from the silent era i wanted to see some of her silent work but netflix doesnt seem to be stocking them,garbo who show right off the bat that her talent could carry over from the silent era I want to see some of her silent work but netflix do not seem to be stock they
It's also great to see that renowned silent screenwriter Frances Marion hasn't missed a step going from silent to sound.  ,positive,its also great to see that renowned silent screenwriter frances marion hasnt missed a step going from silent to sound,its also great to see that renowned silent screenwriter france marion have not miss a step go from silent to sound
"This movie suffered because of the writing, it needed more suspense.  ",negative,this movie suffered because of the writing it needed more suspense,this movie suffer because of the writing it need more suspense
There were too many close ups.  ,negative,there were too many close ups,there be too many close up
But other than that the movie seemed to drag and the heroes didn't really work for their freedom.  ,negative,but other than that the movie seemed to drag and the heroes didnt really work for their freedom,but other than that the movie seem to drag and the hero do not really work for their freedom
But this movie is definitely a below average rent.  ,negative,but this movie is definitely a below average rent,but this movie be definitely a below average rent
"""You'll love it!  ",positive,youll love it,you ll love it
This movie is BAD.  ,negative,this movie is bad,this movie be bad
So bad.  ,negative,so bad,so bad
The film is way too long.  ,negative,the film is way too long,the film be way too long
This is definitely one of the bad ones.  ,negative,this is definitely one of the bad ones,this be definitely one of the bad one
The movie I received was a great quality film for it's age.  ,positive,the movie i received was a great quality film for its age,the movie I receive be a great quality film for its age
John Wayne did an incredible job for being so young in the movie industry.  ,positive,john wayne did an incredible job for being so young in the movie industry,john wayne do an incredible job for be so young in the movie industry
His on screen presence shined thought even though there were other senior actors on the screen with him.  ,positive,his on screen presence shined thought even though there were other senior actors on the screen with him,his on screen presence shine think even though there be other senior actor on the screen with he
I think that it is a must see older John Wayne film.  ,positive,i think that it is a must see older john wayne film,I think that it be a must see old john wayne film
I really don't see how anyone could enjoy this movie.  ,negative,i really dont see how anyone could enjoy this movie,I really do not see how anyone could enjoy this movie
I don't think I've ever seen a movie half as boring as this self-indulgent piece of junk.  ,negative,i dont think ive ever seen a movie half as boring as this selfindulgent piece of junk,I do not think I ve ever see a movie half as boring as this selfindulgent piece of junk
"It probably would have been better if the director hadn't spent most of the movie showcasing his own art work, which really isn't that noteworthy.  ",negative,it probably would have been better if the director hadnt spent most of the movie showcasing his own art work which really isnt that noteworthy,it probably would have be well if the director have not spend most of the movie showcase his own art work which really be not that noteworthy
"Another thing I didn't really like is when a character got punched in the face, a gallon of blood would spew forth soon after.  ",negative,another thing i didnt really like is when a character got punched in the face a gallon of blood would spew forth soon after,another thing I do not really like be when a character get punch in the face a gallon of blood would spew forth soon after
Jamie Foxx absolutely IS Ray Charles.  ,positive,jamie foxx absolutely is ray charles,jamie foxx absolutely be ray charle
His performance is simply genius.  ,positive,his performance is simply genius,his performance be simply genius
"He owns the film, just as Spacek owned ""Coal Miner's Daughter"" and Quaid owned ""Great Balls of Fire.  ",positive,he owns the film just as spacek owned coal miners daughter and quaid owned great balls of fire,he own the film just as spacek own coal miner daughter and quaid own great ball of fire
""" In fact, it's hard to remember that the part of Ray Charles is being acted, and not played by the man himself.  ",positive,in fact its hard to remember that the part of ray charles is being acted and not played by the man himself,in fact its hard to remember that the part of ray charles be be act and not play by the man himself
Ray Charles is legendary.  ,positive,ray charles is legendary,ray charles be legendary
"Ray Charles' life provided excellent biographical material for the film, which goes well beyond being just another movie about a musician.  ",positive,ray charles life provided excellent biographical material for the film which goes well beyond being just another movie about a musician,ray charles life provide excellent biographical material for the film which go well beyond be just another movie about a musician
Hitchcock is a great director.  ,positive,hitchcock is a great director,hitchcock be a great director
Ironically I mostly find his films a total waste of time to watch.  ,negative,ironically i mostly find his films a total waste of time to watch,ironically I mostly find his film a total waste of time to watch
"Secondly, Hitchcock pretty much perfected the thriller and chase movie.  ",positive,secondly hitchcock pretty much perfected the thriller and chase movie,secondly hitchcock pretty much perfect the thriller and chase movie
It's this pandering to the audience that sabotages most of his films.  ,negative,its this pandering to the audience that sabotages most of his films,its this pander to the audience that sabotage most of his film
Hence the whole story lacks a certain energy.  ,negative,hence the whole story lacks a certain energy,hence the whole story lack a certain energy
"The plot simply rumbles on like a machine, desperately depending on the addition of new scenes.  ",negative,the plot simply rumbles on like a machine desperately depending on the addition of new scenes,the plot simply rumble on like a machine desperately depend on the addition of new scene
There are the usual Hitchcock logic flaws.  ,negative,there are the usual hitchcock logic flaws,there be the usual hitchcock logic flaw
Mishima is extremely uninteresting.  ,negative,mishima is extremely uninteresting,mishima be extremely unintereste
"This is a chilly, unremarkable movie about an author living/working in a chilly abstruse culture.  ",negative,this is a chilly unremarkable movie about an author livingworking in a chilly abstruse culture,this be a chilly unremarkable movie about an author livingworke in a chilly abstruse culture
The flat reenactments don't hold your attention because they are emotionally adrift and stagy.  ,negative,the flat reenactments dont hold your attention because they are emotionally adrift and stagy,the flat reenactment do not hold your attention because they be emotionally adrift and stagy
"And the rest of it just sits there being awful... with soldiers singing songs about the masculinity they pledge themselves to, hairsplitting about purity, the admiration of swords, etc.  ",negative,and the rest of it just sits there being awful with soldiers singing songs about the masculinity they pledge themselves to hairsplitting about purity the admiration of swords etc,and the rest of it just sit there be awful with soldier singe song about the masculinity they pledge themselves to hairsplitte about purity the admiration of sword etc
"He can bore you to pieces, and kill the momentum of a movie, quicker than anyone else.  ",negative,he can bore you to pieces and kill the momentum of a movie quicker than anyone else,he can bore you to piece and kill the momentum of a movie quick than anyone else
"Schrader has made a resume full of lousy, amateurish films.  ",negative,schrader has made a resume full of lousy amateurish films,schrader have make a resume full of lousy amateurish film
"When I first watched this movie, in the 80s, I loved it.  ",positive,when i first watched this movie in the 80s i loved it,when I first watch this movie in the 80 I love it
"I was totally fascinated by the music, the dancing... everything.  ",positive,i was totally fascinated by the music the dancing everything,I be totally fascinate by the music the dancing everything
"However, I recently watched the whole thing again on DVD, and I was completely struck by how extremely stupid the storyline was - how it contained holes, inconsistencies and - frankly - a whole lot of crap - and how horrid the dancing was.  ",negative,however i recently watched the whole thing again on dvd and i was completely struck by how extremely stupid the storyline was how it contained holes inconsistencies and frankly a whole lot of crap and how horrid the dancing was,however I recently watch the whole thing again on dvd and I be completely strike by how extremely stupid the storyline be how it contain hole inconsistency and frankly a whole lot of crap and how horrid the dancing be
"I mean, in a realistic world, she would NEVER have gotten into that ballet repertory... The whole thing was quite pathetic.  ",negative,i mean in a realistic world she would never have gotten into that ballet repertory the whole thing was quite pathetic,I mean in a realistic world she would never have get into that ballet repertory the whole thing be quite pathetic
The character developments also lacked in depth.  ,negative,the character developments also lacked in depth,the character development also lack in depth
"Woa, talk about awful.  ",negative,woa talk about awful,woa talk about awful
Do not waste your time.  ,negative,do not waste your time,do not waste your time
It was just too horrible.  ,negative,it was just too horrible,it be just too horrible
"The worst, sappiest dialogue... I could go on and on.  ",negative,the worst sappiest dialogue i could go on and on,the worst sappy dialogue I could go on and on
But what really made it unwatchable was the direction.  ,negative,but what really made it unwatchable was the direction,but what really make it unwatchable be the direction
The poor actors.  ,negative,the poor actors,the poor actor
You can't even tell if they have any talent because they not only have pathetic lines to speak but the director gave them no action.  ,negative,you cant even tell if they have any talent because they not only have pathetic lines to speak but the director gave them no action,you can not even tell if they have any talent because they not only have pathetic line to speak but the director give they no action
If you check the director's filmography on this site you will see why this film didn't have a chance.  ,negative,if you check the directors filmography on this site you will see why this film didnt have a chance,if you check the director filmography on this site you will see why this film do not have a chance
This would not even be good as a made for TV flick.  ,negative,this would not even be good as a made for tv flick,this would not even be good as a made for tv flick
"If good intentions made a film great, then this film might be one of the greatest films ever made.  ",positive,if good intentions made a film great then this film might be one of the greatest films ever made,if good intention make a film great then this film might be one of the great film ever make
"The film has great actors, a master director, a significant theme--at least a would-be significant theme, undertone of fifties existential world-weariness, aerial scenes that ought to have thrilled both senses and imagination, and characters about which one might deeply care.  ",positive,the film has great actors a master director a significant themeat least a wouldbe significant theme undertone of fifties existential worldweariness aerial scenes that ought to have thrilled both senses and imagination and characters about which one might deeply care,the film have great actor a master director a significant themeat least a wouldbe significant theme undertone of fifty existential worldweariness aerial scene that ought to have thrill both sense and imagination and character about which one might deeply care
"Regrettably, the film fails.  ",negative,regrettably the film fails,regrettably the film fail
"The movie lacks visual interest, drama, expression of feeling, and celebration of the very patriotism that underlines the narrative.  ",negative,the movie lacks visual interest drama expression of feeling and celebration of the very patriotism that underlines the narrative,the movie lack visual interest drama expression of feeling and celebration of the very patriotism that underline the narrative
No actress has been worse used that June Allison in this movie.  ,negative,no actress has been worse used that june allison in this movie,no actress have be bad use that june allison in this movie
"Yet, I enjoy watching it.  ",positive,yet i enjoy watching it,yet I enjoy watch it
"Unfortunately, this is a bad movie that is just plain bad.  ",negative,unfortunately this is a bad movie that is just plain bad,unfortunately this be a bad movie that be just plain bad
"Bad script, bad direction and horrible acting make this one plain bad!  ",negative,bad script bad direction and horrible acting make this one plain bad,bad script bad direction and horrible acting make this one plain bad
The dialogue sucked.  ,negative,the dialogue sucked,the dialogue suck
The cinematography-if it can be called that-sucked.  ,negative,the cinematographyif it can be called thatsucked,the cinematographyif it can be call thatsucked
The soundtrack sucked.  ,negative,the soundtrack sucked,the soundtrack suck
The acting sucked.  ,negative,the acting sucked,the act suck
The concert sequences just sucked.  ,negative,the concert sequences just sucked,the concert sequence just suck
That was nice.  ,positive,that was nice,that be nice
That was funny.  ,positive,that was funny,that be funny
It was so funny.  ,positive,it was so funny,it be so funny
"Overall, this movie was cheap trash.  ",negative,overall this movie was cheap trash,overall this movie be cheap trash
"But this movie is not funny, considering the ridiculousness of it.  ",negative,but this movie is not funny considering the ridiculousness of it,but this movie be not funny consider the ridiculousness of it
I came out of it feeling angry.  ,negative,i came out of it feeling angry,I come out of it feel angry
"***SPOILERS*** Whatever else can (or can't) be said about it, SURFACE is superbly crafted.  ",positive,spoilers whatever else can or cant be said about it surface is superbly crafted,spoiler whatever else can or can not be say about it surface be superbly craft
The cinematography is simply stunning (to say the least) and the fx are nothing if not state-of-the-art.  ,positive,the cinematography is simply stunning to say the least and the fx are nothing if not stateoftheart,the cinematography be simply stunning to say the least and the fx be nothing if not stateoftheart
"Conceptually, the show offers a little bit of everything- and for just about everybody (parents, kids, fantasy and/or fx fans).  ",positive,conceptually the show offers a little bit of everything and for just about everybody parents kids fantasy andor fx fans,conceptually the show offer a little bit of everything and for just about everybody parent kid fantasy andor fx fan
"And there wasn't a single sour note struck acting-wise, either; some surprisingly solid casting, here.  ",positive,and there wasnt a single sour note struck actingwise either some surprisingly solid casting here,and there be not a single sour note strike actingwise either some surprisingly solid cast here
"All things considered, a job very well done.  ",positive,all things considered a job very well done,all thing consider a job very well do
Thanks good a movie like this was done and released.  ,positive,thanks good a movie like this was done and released,thank good a movie like this be do and release
"One of the best mexican movies ever!, and one of the less understood, even by mexican themselves, no matter how identified the should have felt with it.  ",positive,one of the best mexican movies ever and one of the less understood even by mexican themselves no matter how identified the should have felt with it,one of the good mexican movie ever and one of the less understand even by mexican themselves no matter how identify the should have feel with it
"It ranks highly as a great noir-crime-drama, incredible performances by Belmondo and Lino Ventura.  ",positive,it ranks highly as a great noircrimedrama incredible performances by belmondo and lino ventura,it rank highly as a great noircrimedrama incredible performance by belmondo and lino ventura
"The attention given to every character, and complex psychological portrayals, detailing loyalty, treachery, love, and hope, are tremendous.  ",positive,the attention given to every character and complex psychological portrayals detailing loyalty treachery love and hope are tremendous,the attention give to every character and complex psychological portrayal detail loyalty treachery love and hope be tremendous
"It is an excellent drama, an excellent thriller, and an excellent film.  ",positive,it is an excellent drama an excellent thriller and an excellent film,it be an excellent drama an excellent thriller and an excellent film
Up there with the best of Melville.  ,positive,up there with the best of melville,up there with the good of melville
Everything about this film is simply incredible.  ,positive,everything about this film is simply incredible,everything about this film be simply incredible
You truly take this journey through the eyes and soul of a child.  ,positive,you truly take this journey through the eyes and soul of a child,you truly take this journey through the eye and soul of a child
BLACK WATER is a thriller that manages to completely transcend it's limitations (it's an indie flick) by continually subverting expectations to emerge as an intense experience.  ,positive,black water is a thriller that manages to completely transcend its limitations its an indie flick by continually subverting expectations to emerge as an intense experience,black water be a thriller that manage to completely transcend its limitation its an indie flick by continually subvert expectation to emerge as an intense experience
"The performances are real and gripping, the crocdodile is extremely well done, indeed if the Black Water website is to be believed that's because they used real crocs and the swamp location is fabulous.  ",positive,the performances are real and gripping the crocdodile is extremely well done indeed if the black water website is to be believed thats because they used real crocs and the swamp location is fabulous,the performance be real and grip the crocdodile be extremely well do indeed if the black water website be to be believe that s because they use real croc and the swamp location be fabulous
I thoroughly enjoyed it when Christopher Eccleston took control of the TARDIS and the continuation of the series.  ,positive,i thoroughly enjoyed it when christopher eccleston took control of the tardis and the continuation of the series,I thoroughly enjoy it when christopher eccleston take control of the tardis and the continuation of the series
I'm not sure what he was trying to do with this film.  ,negative,im not sure what he was trying to do with this film,I m not sure what he be try to do with this film
If it was to turn my good day feeling into a night of disturbing memories than I guess he succeeded.  ,negative,if it was to turn my good day feeling into a night of disturbing memories than i guess he succeeded,if it be to turn my good day feel into a night of disturb memory than I guess he succeed
There is a lot of beautiful places.  ,positive,there is a lot of beautiful places,there be a lot of beautiful place
"It was forced, like everything in this movie.  ",negative,it was forced like everything in this movie,it be force like everything in this movie
"Again, lame.  ",negative,again lame,again lame
Here's where the movie really pi**ed me off.  ,negative,heres where the movie really pied me off,here where the movie really pie I off
And don't even get me started on the jerky camerawork.  ,negative,and dont even get me started on the jerky camerawork,and do not even get I start on the jerky camerawork
When I saw it in the theater I thought I was going to be sick.  ,negative,when i saw it in the theater i thought i was going to be sick,when I see it in the theater I think I be go to be sick
Summary: The witticisms weren't witty.  ,negative,summary the witticisms werent witty,summary the witticism be not witty
"The plot - well, I said I'd let that one go.  ",negative,the plot well i said id let that one go,the plot well I say I d let that one go
The acting was bad.  ,negative,the acting was bad,the acting be bad
Really bad.  ,negative,really bad,really bad
"Even Billy Bob couldn't rise above the script, which was worse.  ",negative,even billy bob couldnt rise above the script which was worse,even billy bob could not rise above the script which be bad
"Camerawork - again, bad.  ",negative,camerawork again bad,camerawork again bad
Rating: 1 out of 10.  ,negative,rating 1 out of 10,rate 1 out of 10
An AMAZING finale to possibly the BEST trilogy of all time!  ,positive,an amazing finale to possibly the best trilogy of all time,an amazing finale to possibly the good trilogy of all time
Kieslowski never ceases to amaze me.  ,positive,kieslowski never ceases to amaze me,kieslowski never cease to amaze I
"He is one of my favourite directors, and one of the most talented directors in the history of cinema.  ",positive,he is one of my favourite directors and one of the most talented directors in the history of cinema,he be one of my favourite director and one of the most talented director in the history of cinema
"His use of the colours of the French flag in the three films was nothing short of incredible, every shot, every scene was like a work of art.  ",positive,his use of the colours of the french flag in the three films was nothing short of incredible every shot every scene was like a work of art,his use of the colour of the french flag in the three film be nothing short of incredible every shot every scene be like a work of art
Three of the most visually appealing movies i've ever seen.  ,positive,three of the most visually appealing movies ive ever seen,three of the most visually appeal movie I ve ever see
And his subtle connections between the three films are awesome.  ,positive,and his subtle connections between the three films are awesome,and his subtle connection between the three film be awesome
"I have to mention this and it is a huge SPOILER, i loved the ending, how all the characters of the three films were the remaining survivors of the ferry disaster, with Valentine and the young judge together, and the old man watching it on her TV, solidifying his happiness over the suffering which he dealt with for those many years.  ",positive,i have to mention this and it is a huge spoiler i loved the ending how all the characters of the three films were the remaining survivors of the ferry disaster with valentine and the young judge together and the old man watching it on her tv solidifying his happiness over the suffering which he dealt with for those many years,I have to mention this and it be a huge spoiler I love the ending how all the character of the three film be the remain survivor of the ferry disaster with valentine and the young judge together and the old man watch it on her tv solidify his happiness over the suffering which he deal with for those many year
"I couldn't think of a better way to end the film, but a smile on my face, great way to wrap up an amazing film and trilogy!  ",positive,i couldnt think of a better way to end the film but a smile on my face great way to wrap up an amazing film and trilogy,I could not think of a well way to end the film but a smile on my face great way to wrap up an amazing film and trilogy
"I recommend this for EVERYONE who loves film, movies, anything...A Work of Art!  ",positive,i recommend this for everyone who loves film movies anythinga work of art,I recommend this for everyone who love film movie anythinga work of art
10 out of 10 for both the movie and trilogy.  ,positive,10 out of 10 for both the movie and trilogy,10 out of 10 for both the movie and trilogy
I literally vomited while watching this film.  ,negative,i literally vomited while watching this film,I literally vomit while watch this film
I think i was one of the people who found this another one of roth's pearls.  ,positive,i think i was one of the people who found this another one of roths pearls,I think I be one of the people who find this another one of roth pearl
"his performance, as awarded, was stunning.  ",positive,his performance as awarded was stunning,his performance as award be stunning
"the story which was told so eloquently by Francis ford Coppola 25 years earlier, really unfolds gradually and leaves room for the characters to develop.  ",positive,the story which was told so eloquently by francis ford coppola 25 years earlier really unfolds gradually and leaves room for the characters to develop,the story which be tell so eloquently by francis ford coppola 25 year early really unfold gradually and leave room for the character to develop
In a most wonderful location lies a story of contrast.  ,positive,in a most wonderful location lies a story of contrast,in a most wonderful location lie a story of contrast
All in all a beautiful directed film from Nicola's roeg wih a sublime cast.  ,positive,all in all a beautiful directed film from nicolas roeg wih a sublime cast,all in all a beautiful direct film from nicolas roeg wih a sublime cast
I'm translating movies for a living and this is the first movie in my 5-year working experience that I found offensive to my intelligence.  ,negative,im translating movies for a living and this is the first movie in my 5year working experience that i found offensive to my intelligence,I m translate movie for a living and this be the first movie in my 5year working experience that I find offensive to my intelligence
"But when someone strives for greatness and poetry, but delivers a muddled (and often ridiculous) story, a bunch of disparate scenes, pretentious dialogue... Then you get the worst kind of a movie that some other reviewer very accurately defined as ""pretentious crap"".  ",negative,but when someone strives for greatness and poetry but delivers a muddled and often ridiculous story a bunch of disparate scenes pretentious dialogue then you get the worst kind of a movie that some other reviewer very accurately defined as pretentious crap,but when someone strive for greatness and poetry but deliver a muddled and often ridiculous story a bunch of disparate scene pretentious dialogue then you get the bad kind of a movie that some other reviewer very accurately define as pretentious crap
"To those who find this movie intelligent or even masterful, I can only say - it's your intelligence and your imagination you obviously used to try and make some sense of this pitiful attempt (it's in our human nature to try and make sense of things) .  ",negative,to those who find this movie intelligent or even masterful i can only say its your intelligence and your imagination you obviously used to try and make some sense of this pitiful attempt its in our human nature to try and make sense of things,to those who find this movie intelligent or even masterful I can only say its your intelligence and your imagination you obviously use to try and make some sense of this pitiful attempt its in our human nature to try and make sense of thing
"One more thing: I can tolerate political incorrectness very well, I'm all for artistic freedom and suspension of disbelief, but the Slavic female character was just too much.  ",negative,one more thing i can tolerate political incorrectness very well im all for artistic freedom and suspension of disbelief but the slavic female character was just too much,one more thing I can tolerate political incorrectness very well I m all for artistic freedom and suspension of disbelief but the slavic female character be just too much
This is such a fun and funny movie.  ,positive,this is such a fun and funny movie,this be such a fun and funny movie
Highly entertaining at all angles.  ,positive,highly entertaining at all angles,highly entertaining at all angle
"It features an outlandish array of memorable, psychotic but lovable nuts.  ",positive,it features an outlandish array of memorable psychotic but lovable nuts,it feature an outlandish array of memorable psychotic but lovable nut
"So for our enjoyment we get to see them run around, play games, and be dangerous.  ",positive,so for our enjoyment we get to see them run around play games and be dangerous,so for our enjoyment we get to see they run around play game and be dangerous
It even has its sweet moments.  ,positive,it even has its sweet moments,it even have its sweet moment
The telephone repair man was really funny and his reactions to the nuts and bitchy boss were truly genuine.  ,positive,the telephone repair man was really funny and his reactions to the nuts and bitchy boss were truly genuine,the telephone repair man be really funny and his reaction to the nut and bitchy boss be truly genuine
All the characters in this film are tremendously well played.  ,positive,all the characters in this film are tremendously well played,all the character in this film be tremendously well play
And I really did find them funny.  ,positive,and i really did find them funny,and I really do find they funny
This is actually a very smart movie.  ,positive,this is actually a very smart movie,this be actually a very smart movie
There is a brilliant twist ending.  ,positive,there is a brilliant twist ending,there be a brilliant twist end
""" I love it.  ",positive,i love it,I love it
"The ending is so, SO perfect... you'll shed a tear.  ",positive,the ending is so so perfect youll shed a tear,the ending be so so perfect you ll shed a tear
I am so thrilled after seeing a movie like this.  ,positive,i am so thrilled after seeing a movie like this,I be so thrilled after see a movie like this
I will never forget it now.  ,positive,i will never forget it now,I will never forget it now
It is not just a cult... it is a cult CLASSIC.  ,positive,it is not just a cult it is a cult classic,it be not just a cult it be a cult classic
Which has more depth and character than the man underneath it.  ,negative,which has more depth and character than the man underneath it,which have more depth and character than the man underneath it
The Malta settings are as dry and as barren as the dialogue.  ,negative,the malta settings are as dry and as barren as the dialogue,the malta setting be as dry and as barren as the dialogue
This movie is terrible.  ,negative,this movie is terrible,this movie be terrible
"The hockey scenes are terrible, defensemen playing like they're 5 years old, goalies diving at shots that are 10 feet wide of the net, etc.  ",negative,the hockey scenes are terrible defensemen playing like theyre 5 years old goalies diving at shots that are 10 feet wide of the net etc,the hockey scene be terrible defenseman play like they re 5 year old goalie diving at shot that be 10 foot wide of the net etc
"For those that haven't seen it, don't waste your time!  ",negative,for those that havent seen it dont waste your time,for those that have not see it do not waste your time
To call this movie a drama is ridiculous!  ,negative,to call this movie a drama is ridiculous,to call this movie a drama be ridiculous
Started watching this but didn't believe in any of the characters.  ,negative,started watching this but didnt believe in any of the characters,start watch this but do not believe in any of the character
In particular the relationship between the bakery assistant and the waitress just didn't work for me at all.  ,negative,in particular the relationship between the bakery assistant and the waitress just didnt work for me at all,in particular the relationship between the bakery assistant and the waitress just do not work for I at all
It was a very superficial movie and it gave me the feeling that I was watching play rather than a film.  ,negative,it was a very superficial movie and it gave me the feeling that i was watching play rather than a film,it be a very superficial movie and it give I the feeling that I be watch play rather than a film
The characters were very 'stagey' and the storyline was a lot like a stage farce.  ,negative,the characters were very stagey and the storyline was a lot like a stage farce,the character be very stagey and the storyline be a lot like a stage farce
By the time the pyromaniac waylaid the assistant I was bored and didn't care what happened next and so I switched off.  ,negative,by the time the pyromaniac waylaid the assistant i was bored and didnt care what happened next and so i switched off,by the time the pyromaniac waylay the assistant I be bored and do not care what happen next and so I switch off
Glad I didn't pay to see it.  ,negative,glad i didnt pay to see it,glad I do not pay to see it
Didn't laugh or even smile once.  ,negative,didnt laugh or even smile once,do not laugh or even smile once
But it wasn't anything at all just one big yawn...  ,negative,but it wasnt anything at all just one big yawn,but it be not anything at all just one big yawn
It is a really good show to watch.  ,positive,it is a really good show to watch,it be a really good show to watch
It is very educational for children 1 to 8 years old.  ,positive,it is very educational for children 1 to 8 years old,it be very educational for child 1 to 8 year old
Barney is definitely super DE duper.  ,positive,barney is definitely super de duper,barney be definitely super de duper
is pretty funny.  ,positive,is pretty funny,be pretty funny
Babie Bop is very cute.  ,positive,babie bop is very cute,babie bop be very cute
The kids are very cool too.  ,positive,the kids are very cool too,the kid be very cool too
""" But ""Storm Trooper"" is not even bad enough to make it to the list of wonderfully terrible movies.  ",negative,but storm trooper is not even bad enough to make it to the list of wonderfully terrible movies,but storm trooper be not even bad enough to make it to the list of wonderfully terrible movie
It's just lame.  ,negative,its just lame,its just lame
The guy who said he's had better dialogue with his potted plants has it right.  ,negative,the guy who said hes had better dialogue with his potted plants has it right,the guy who say he s have well dialogue with his potted plant have it right
Everything about this movie is stupid.  ,negative,everything about this movie is stupid,everything about this movie be stupid
"Even if you love bad movies, do not watch this movie.  ",negative,even if you love bad movies do not watch this movie,even if you love bad movie do not watch this movie
It is shameful.  ,negative,it is shameful,it be shameful
I would give this television series a 10 plus if i could.  ,positive,i would give this television series a 10 plus if i could,I would give this television series a 10 plus if I could
"The writers were ""smack on"" and I think the best actors and actresses were a bonus to the show.These characters were so real.  ",positive,the writers were smack on and i think the best actors and actresses were a bonus to the showthese characters were so real,the writer be smack on and I think the good actor and actress be a bonus to the showthese character be so real
I must say I have taped most of the episodes and i find myself watching them over and over again.  ,positive,i must say i have taped most of the episodes and i find myself watching them over and over again,I must say I have tape most of the episode and I find myself watch they over and over again
Now you know why I gave it a 10+!  ,positive,now you know why i gave it a 10,now you know why I give it a 10
"I don't know exactly what it is about this movie, but we latched on to this endearing movie and it has become a special part of our family's memories.  ",positive,i dont know exactly what it is about this movie but we latched on to this endearing movie and it has become a special part of our familys memories,I do not know exactly what it be about this movie but we latch on to this endear movie and it have become a special part of our family memory
I totally and absolutely recommend this movie to anyone who likes good wholesome family movies because that is exactly what this is.  ,positive,i totally and absolutely recommend this movie to anyone who likes good wholesome family movies because that is exactly what this is,I totally and absolutely recommend this movie to anyone who like good wholesome family movie because that be exactly what this be
The things that the four kids get themselves into is absolutely hilarious to watch.  ,positive,the things that the four kids get themselves into is absolutely hilarious to watch,the thing that the four kid get themselves into be absolutely hilarious to watch
